sIP|dIP|sPort|dPort|sensor|protocol|flags|type|sTime|eTime|
172.16.0.8|64.13.134.52|36050|113|S0|6|S|in|2010/07/04T20:24:16.340|2010/07/04T20:24:16.401|
64.13.134.52|172.16.0.8|113|36050|S0|6|RA|in|2010/07/04T20:24:16.401|2010/07/04T20:24:16.401|
172.16.0.8|64.13.134.52|36050|25|S0|6|S|in|2010/07/04T20:24:17.678|2010/07/04T20:24:17.740|
64.13.134.52|172.16.0.8|25|36050|S0|6|RA|in|2010/07/04T20:24:17.740|2010/07/04T20:24:17.740|
172.16.0.8|64.13.134.52|36050|31337|S0|6|S|in|2010/07/04T20:24:18.031|2010/07/04T20:24:18.093|
64.13.134.52|172.16.0.8|31337|36050|S0|6|RA|in|2010/07/04T20:24:18.093|2010/07/04T20:24:18.093|
172.16.0.8|64.13.134.52|36061|113|S0|6|S|in|2010/07/04T20:24:19.345|2010/07/04T20:24:19.407|
64.13.134.52|172.16.0.8|113|36061|S0|6|RA|in|2010/07/04T20:24:19.407|2010/07/04T20:24:19.407|
172.16.0.8|64.13.134.52|36050|70|S0|6|S|in|2010/07/04T20:24:20.291|2010/07/04T20:24:20.352|
64.13.134.52|172.16.0.8|70|36050|S0|6|RA|in|2010/07/04T20:24:20.352|2010/07/04T20:24:20.352|
